wavenumber_cm-1,transmittance_percent
1162.20,84.254
1164.99,84.097
1167.56,83.893
1170.08,83.599
1172.65,83.237
1175.21,82.897
1177.74,82.677
1180.30,82.536
1182.86,82.379
1185.39,82.169
1187.95,81.981
1190.52,81.835
1193.04,81.698
1195.87,81.562
1198.40,81.436
1200.96,81.321
1203.52,81.206
1206.05,81.112
1208.61,81.049
1211.18,81.002
1213.70,80.944
1216.27,80.881
1218.83,80.824
1221.35,80.776
1223.92,80.739
1226.71,80.719
1229.27,80.698
1231.84,80.661
1234.36,80.598
1236.93,80.531
1239.49,80.468
1242.02,80.415
1244.58,80.394
1247.14,80.415
1249.67,80.468
1252.23,80.535
1254.80,80.604
1257.32,80.672
1260.15,80.724
1262.68,80.776
1265.24,80.834
1267.80,80.908
1270.33,81.002
1272.89,81.091
1275.46,81.164
1277.98,81.226
1280.55,81.305
1283.11,81.415
1285.63,81.556
1288.20,81.703
1290.99,81.845
1293.55,81.981
1296.12,82.138
1298.64,82.342
1301.21,82.583
1303.77,82.840
1306.30,83.117
1308.86,83.426
1311.42,83.767
1313.95,84.107
1316.51,84.458
1319.08,84.804
1321.60,85.102
1324.43,85.369
1326.96,85.652
1329.52,85.971
1332.08,86.322
1334.61,86.668
1337.17,86.982
1339.74,87.281
1342.26,87.579
1344.83,87.857
1347.39,88.108
1349.91,88.359
1352.48,88.606
1355.27,88.836
1357.84,89.040
1360.40,89.229
1362.92,89.428
1365.49,89.627
1368.05,89.820
1370.58,89.993
1373.14,90.140
1375.70,90.256
1378.23,90.339
1380.79,90.407
1383.36,90.512
1386.15,90.659
1388.71,90.790
1391.24,90.873
1393.80,90.936
1396.36,90.999
1398.89,91.073
1401.45,91.156
1404.02,91.245
1406.54,91.334
1409.11,91.418
1411.67,91.501
1414.20,91.601
1416.76,91.711
1419.55,91.805
1422.12,91.890
1424.68,91.963
1427.20,92.047
1429.77,92.161
1432.33,92.292
1434.86,92.413
1437.42,92.512
1439.98,92.612
1442.51,92.717
1445.07,92.837
1447.64,92.963
1450.43,93.099
1452.99,93.245
1455.52,93.402
1458.08,93.575
1460.65,93.754
1463.17,93.937
1465.73,94.109
1468.30,94.282
1470.82,94.455
1473.39,94.633
1475.95,94.827
1478.48,95.032
1481.04,95.236
1483.83,95.435
1486.40,95.623
1488.96,95.812
1491.48,96.000
1494.05,96.194
1496.61,96.388
1499.14,96.582
1501.70,96.776
1504.26,96.959
1506.79,97.121
1509.35,97.273
1511.92,97.409
1514.71,97.540
1517.27,97.644
1519.80,97.723
1522.36,97.781
1524.93,97.817
1527.45,97.849
1530.01,97.870
1532.58,97.891
1535.10,97.917
1537.67,97.943
1540.23,97.964
1542.76,97.990
1545.59,98.021
1548.11,98.058
1550.68,98.095
1553.24,98.127
1555.76,98.163
1558.33,98.194
1560.89,98.226
1563.42,98.252
1565.98,98.263
1568.54,98.268
1571.07,98.268
1573.63,98.268
1576.20,98.278
1578.99,98.294
1581.55,98.304
1584.08,98.310
1586.64,98.310
1589.21,98.310
1591.73,98.304
1594.29,98.304
1596.86,98.304
1599.38,98.310
1601.95,98.310
1604.51,98.304
1607.04,98.300
1609.87,98.304
1612.39,98.310
1614.96,98.320
1617.52,98.325
1620.05,98.336
1622.61,98.357
1625.17,98.378
1627.70,98.399
1630.26,98.420
1632.82,98.441
1635.35,98.457
1637.91,98.472
1640.48,98.493
1643.27,98.520
1645.83,98.545
1648.36,98.567
1650.92,98.587
1653.49,98.618
1656.01,98.655
1658.58,98.703
1661.14,98.771
1663.66,98.849
1666.23,98.933
1668.79,99.011
1671.32,99.074
1674.15,99.121
1676.67,99.153
1679.24,99.179
1681.80,99.211
1684.33,99.263
1686.89,99.325
1689.45,99.373
1691.98,99.384
1694.54,99.368
1697.10,99.325
1699.63,99.268
1702.19,99.205
1704.76,99.142
1707.55,99.090
1710.11,99.043
1712.64,99.007
1715.20,98.980
1717.77,98.970
1720.29,98.954
1722.86,98.928
1725.42,98.891
1727.94,98.860
1730.51,98.823
1733.07,98.787
1735.60,98.755
1738.43,98.728
1740.95,98.713
1743.52,98.697
1746.08,98.677
1748.61,98.655
1751.17,98.655
1753.73,98.666
1756.26,98.666
1758.82,98.650
1761.39,98.629
1763.91,98.618
1766.47,98.640
1769.27,98.671
1771.83,98.692
1774.39,98.687
1776.92,98.681
1779.48,98.687
1782.05,98.677
1784.57,98.640
1787.14,98.608
1789.70,98.587
1792.22,98.577
1794.79,98.561
1797.35,98.556
1799.88,98.561
1802.71,98.577
1805.23,98.593
1807.80,98.603
1810.36,98.614
1812.89,98.618
1815.45,98.618
1818.01,98.614
1820.54,98.603
1823.10,98.593
1825.67,98.582
1828.19,98.582
1830.75,98.608
1833.55,98.645
1836.11,98.655
1838.67,98.629
1841.20,98.593
1843.76,98.593
1846.33,98.640
1848.85,98.687
1851.42,98.708
1853.98,98.718
1856.50,98.718
1859.07,98.703
1861.63,98.671
1864.16,98.650
1866.99,98.629
1869.51,98.618
1872.08,98.624
1874.64,98.640
1877.17,98.671
1879.73,98.724
1882.29,98.760
1884.82,98.771
1887.38,98.781
1889.95,98.802
1892.47,98.823
1895.03,98.838
1897.83,98.854
1900.39,98.881
1902.95,98.897
1905.48,98.886
1908.04,98.828
1910.61,98.750
1913.13,98.713
1915.70,98.728
1918.26,98.739
1920.78,98.724
1923.35,98.681
1925.91,98.645
1928.71,98.603
1931.27,98.551
1933.79,98.461
1936.36,98.378
1938.92,98.300
1941.45,98.231
1944.01,98.163
1946.57,98.095
1949.10,98.032
1951.66,97.964
1954.23,97.886
1956.75,97.813
1959.31,97.739
1962.11,97.671
1964.67,97.603
1967.23,97.534
1969.76,97.467
1972.32,97.404
1974.89,97.341
1977.41,97.278
1979.98,97.220
1982.54,97.168
1985.06,97.116
1987.63,97.063
1990.19,97.027
1992.99,97.006
1995.55,96.974
1998.07,96.937
2000.64,96.906
2003.20,96.880
2005.73,96.864
2008.29,96.859
2010.85,96.854
2013.38,96.854
2015.94,96.880
2018.51,96.927
2021.03,96.964
2023.59,96.996
2026.39,97.021
2028.95,97.058
2031.52,97.100
2034.04,97.106
2036.60,97.074
2039.17,97.069
2041.69,97.106
2044.26,97.147
2046.82,97.173
2049.35,97.194
2051.91,97.226
2054.47,97.267
2057.27,97.304
2059.83,97.336
2062.35,97.362
2064.92,97.383
2067.48,97.420
2070.01,97.472
2072.57,97.524
2075.13,97.540
2077.66,97.530
2080.22,97.519
2082.79,97.524
2085.31,97.524
2088.14,97.519
2090.67,97.524
2093.23,97.534
2095.80,97.556
2098.32,97.561
2100.88,97.540
2103.45,97.498
2105.97,97.440
2108.54,97.388
2111.10,97.362
2113.63,97.346
2116.19,97.330
2118.75,97.310
2121.55,97.304
2124.11,97.330
2126.63,97.404
2129.20,97.483
2131.76,97.561
2134.29,97.634
2136.85,97.703
2139.41,97.776
2141.94,97.849
2144.50,97.948
2147.07,98.064
2149.59,98.174
2152.42,98.257
2154.95,98.341
2157.51,98.420
2160.08,98.498
2162.60,98.561
2165.16,98.603
2167.73,98.645
2170.25,98.681
2172.82,98.713
2175.38,98.739
2177.91,98.765
2180.47,98.791
2183.03,98.828
2185.83,98.875
2188.39,98.922
2190.92,98.970
2193.48,99.001
2196.04,99.027
2198.57,99.048
2201.13,99.058
2203.69,99.064
2206.22,99.069
2208.78,99.080
2211.35,99.101
2213.87,99.127
2216.70,99.164
2219.23,99.200
2221.79,99.237
2224.36,99.263
2226.88,99.274
2229.44,99.263
2232.01,99.237
2234.53,99.221
2237.10,99.226
2239.66,99.242
2242.19,99.263
2244.75,99.268
2247.54,99.258
2250.11,99.242
2252.67,99.226
2255.20,99.200
2257.76,99.184
2260.32,99.174
2262.85,99.184
2265.41,99.211
2267.97,99.247
2270.50,99.284
2273.06,99.305
2275.63,99.310
2278.15,99.300
2280.98,99.284
2283.51,99.263
2286.07,99.237
2288.64,99.200
2291.16,99.158
2293.73,99.117
2296.29,99.085
2298.81,99.054
2301.38,99.032
2303.94,99.022
2306.47,99.032
2309.03,99.048
2311.82,99.058
2314.39,99.054
2316.95,99.043
2319.48,99.054
2322.04,99.080
2324.60,99.121
2327.13,99.168
2329.69,99.195
2332.25,99.195
2334.78,99.184
2337.34,99.168
2339.91,99.164
2342.43,99.153
2345.26,99.137
2347.79,99.127
2350.35,99.121
2352.92,99.127
2355.44,99.142
2358.01,99.142
2360.57,99.132
2363.09,99.132
2365.66,99.148
2368.22,99.179
2370.75,99.226
2373.31,99.258
2376.10,99.274
2378.67,99.268
2381.23,99.258
2383.76,99.226
2386.32,99.174
2388.88,99.106
2391.41,99.043
2393.97,99.001
2396.54,98.975
2399.06,98.970
2401.62,98.970
2404.19,98.970
2406.98,98.991
2409.54,99.032
2412.07,99.064
2414.63,99.064
2417.20,99.043
2419.72,99.027
2422.29,99.069
2424.85,99.153
2427.37,99.237
2429.94,99.258
2432.50,99.216
2435.03,99.137
2437.59,99.054
2440.38,98.975
2442.95,98.912
2445.51,98.881
2448.04,98.854
2450.60,98.823
2453.16,98.807
2455.69,98.860
2458.25,98.985
2460.82,99.095
2463.34,99.121
2465.90,99.111
2468.47,99.095
2471.26,99.043
2473.82,98.938
2476.35,98.854
2478.91,98.886
2481.48,99.027
2484.00,99.164
2486.57,99.195
2489.13,99.137
2491.65,99.069
2494.22,99.054
2496.78,99.074
2499.31,99.111
2500.84,99.153
2502.14,99.179
2503.40,99.164
2504.66,99.106
2505.96,99.080
2507.23,99.117
2508.49,99.168
2509.79,99.195
2511.05,99.190
2512.32,99.184
2513.62,99.195
2514.88,99.226
2516.14,99.321
2517.44,99.483
2518.71,99.682
2519.97,99.844
2521.27,99.902
2522.53,99.808
2524.06,99.614
2525.33,99.431
2526.63,99.378
2527.89,99.446
2529.15,99.535
2530.45,99.577
2531.72,99.582
2532.98,99.614
2534.28,99.671
2535.54,99.724
2536.80,99.745
2538.10,99.718
2539.37,99.661
2540.63,99.598
2541.93,99.551
2543.19,99.514
2544.46,99.498
2545.76,99.504
2547.02,99.551
2548.28,99.629
2549.58,99.703
2550.85,99.745
2552.11,99.761
2553.41,99.771
2554.67,99.771
2556.20,99.761
2557.47,99.755
2558.77,99.771
2560.03,99.802
2561.29,99.813
2562.59,99.776
2563.86,99.703
2565.12,99.651
2566.42,99.645
2567.68,99.692
2568.94,99.765
2570.24,99.824
2571.51,99.834
2572.77,99.808
2574.07,99.781
2575.33,99.765
2576.60,99.729
2577.90,99.682
2579.16,99.635
2580.42,99.604
2581.72,99.582
2582.99,99.551
2584.25,99.504
2585.55,99.498
2586.81,99.572
2588.34,99.734
2589.61,99.891
2590.91,99.928
2592.17,99.871
2593.43,99.839
2594.73,99.828
2596.00,99.739
2597.26,99.556
2598.56,99.373
2599.82,99.347
2601.08,99.535
2602.38,99.828
2603.65,100.038
2604.91,100.012
2606.21,99.808
2607.47,99.692
2608.74,99.755
2610.04,99.818
2611.30,99.776
2612.56,99.734
2613.86,99.724
2615.13,99.635
2616.39,99.431
2617.69,99.231
2618.95,99.132
2620.48,99.164
2621.75,99.310
2623.05,99.494
2624.31,99.640
2625.57,99.734
2626.87,99.745
2628.14,99.619
2629.40,99.435
2630.70,99.321
2631.96,99.247
2633.22,99.184
2634.53,99.200
2635.79,99.352
2637.05,99.520
2638.35,99.535
2639.61,99.394
2640.88,99.237
2642.18,99.195
2643.44,99.242
2644.70,99.263
2646.00,99.278
2647.27,99.352
2648.53,99.431
2649.83,99.451
2651.09,99.431
2652.62,99.384
2653.89,99.315
2655.19,99.263
2656.45,99.274
2657.71,99.325
2659.01,99.362
2660.28,99.362
2661.54,99.362
2662.84,99.336
2664.10,99.247
2665.36,99.137
2666.67,99.054
2667.93,99.001
2669.19,98.970
2670.49,98.954
2671.75,98.948
2673.02,98.970
2674.32,98.996
2675.58,99.027
2676.84,99.069
2678.14,99.117
2679.41,99.158
2680.67,99.174
2681.97,99.153
2683.50,99.101
2684.76,99.038
2686.03,98.996
2687.33,98.985
2688.59,98.996
2689.85,99.017
2691.15,99.001
2692.42,98.933
2693.68,98.802
2694.98,98.666
2696.24,98.571
2697.50,98.582
2698.81,98.713
2700.07,98.870
2701.33,98.928
2702.63,98.771
2703.89,98.362
2705.16,97.760
2706.46,97.137
2707.72,96.666
2708.98,96.403
2710.28,96.262
2711.55,96.142
2712.81,95.969
2714.11,95.770
2715.64,95.602
2716.90,95.429
2718.17,95.262
2719.47,95.209
2720.73,95.503
2721.99,96.246
2723.29,97.377
2724.56,98.598
2725.82,99.488
2727.12,99.556
2728.38,98.781
2729.64,97.666
2730.95,96.666
2732.21,96.205
2733.47,96.566
2734.77,97.362
2736.03,97.907
2737.30,97.943
2738.60,97.791
2739.86,97.587
2741.12,97.571
2742.42,97.750
2743.69,98.048
2744.95,98.488
2746.25,98.891
2747.78,99.132
2749.04,99.195
2750.31,99.127
2751.61,98.996
2752.87,98.875
2754.13,98.828
2755.43,98.865
2756.70,98.975
2757.96,99.111
2759.26,99.226
2760.52,99.310
2761.78,99.352
2763.09,99.373
2764.35,99.378
2765.61,99.388
2766.91,99.410
2768.17,99.446
2769.44,99.478
2770.74,99.483
2772.00,99.478
2773.26,99.462
2774.56,99.431
2775.83,99.404
2777.09,99.394
2778.39,99.410
2779.92,99.425
2781.18,99.441
2782.45,99.451
2783.75,99.457
2785.01,99.441
2786.27,99.410
2787.57,99.378
2788.84,99.368
2790.10,99.368
2791.40,99.362
2792.66,99.352
2793.92,99.341
2795.23,99.336
2796.49,99.336
2797.75,99.336
2799.05,99.331
2800.31,99.321
2801.58,99.305
2802.88,99.315
2804.14,99.341
2805.40,99.347
2806.70,99.325
2807.97,99.310
2809.23,99.315
2810.53,99.331
2812.06,99.357
2813.32,99.368
2814.59,99.357
2815.89,99.357
2817.15,99.368
2818.41,99.378
2819.71,99.347
2820.98,99.305
2822.24,99.300
2823.54,99.325
2824.80,99.331
2826.06,99.331
2827.37,99.341
2828.63,99.362
2829.89,99.352
2831.19,99.321
2832.45,99.305
2833.72,99.305
2835.02,99.310
2836.28,99.305
2837.54,99.289
2838.84,99.284
2840.11,99.310
2841.37,99.357
2842.90,99.347
2844.20,99.289
2845.46,99.237
2846.73,99.231
2848.03,99.258
2849.29,99.284
2850.55,99.289
2851.85,99.258
2853.12,99.200
2854.38,99.174
2855.68,99.200
2856.94,99.242
2858.21,99.258
2859.51,99.258
2860.77,99.263
2862.03,99.268
2863.33,99.258
2864.59,99.242
2865.86,99.247
2867.16,99.252
2868.42,99.258
2869.68,99.268
2870.98,99.274
2872.25,99.237
2873.51,99.184
2875.04,99.174
2876.34,99.231
2877.60,99.300
2878.87,99.325
2880.17,99.305
2881.43,99.289
2882.69,99.305
2883.99,99.325
2885.26,99.336
2886.52,99.331
2887.82,99.310
2889.08,99.284
2890.35,99.268
2891.65,99.247
2892.91,99.221
2894.17,99.211
2895.47,99.247
2896.73,99.310
2898.00,99.384
2899.30,99.431
2900.56,99.431
2901.82,99.394
2903.12,99.368
2904.39,99.368
2905.65,99.384
2907.18,99.378
2908.48,99.373
2909.74,99.368
2911.01,99.362
2912.31,99.362
2913.57,99.373
2914.83,99.399
2916.13,99.420
2917.40,99.425
2918.66,99.415
2919.96,99.420
2921.22,99.425
2922.49,99.399
2923.79,99.362
2925.05,99.357
2926.31,99.394
2927.61,99.425
2928.88,99.441
2930.14,99.446
2931.44,99.446
2932.70,99.435
2933.96,99.415
2935.26,99.404
2936.53,99.404
2937.79,99.410
2939.32,99.425
2940.62,99.441
2941.88,99.451
2943.15,99.451
2944.45,99.451
2945.71,99.451
2946.97,99.451
2948.27,99.457
2949.54,99.451
2950.80,99.435
2952.10,99.420
2953.36,99.410
2954.63,99.410
2955.93,99.415
2957.19,99.420
2958.45,99.425
2959.75,99.431
2961.02,99.435
2962.28,99.441
2963.58,99.451
2964.84,99.457
2966.10,99.451
2967.41,99.451
2968.67,99.446
2969.93,99.435
2971.46,99.420
2972.76,99.410
2974.02,99.415
2975.29,99.435
2976.59,99.451
2977.85,99.451
2979.11,99.446
2980.41,99.435
2981.68,99.431
2982.94,99.425
2984.24,99.425
2985.50,99.431
2986.77,99.435
2988.07,99.425
2989.33,99.404
2990.59,99.388
2991.89,99.388
2993.16,99.394
2994.42,99.384
2995.72,99.378
2996.98,99.378
2998.24,99.384
2999.55,99.384
3000.81,99.373
3002.34,99.357
3003.60,99.347
3004.90,99.352
3006.16,99.378
3007.43,99.394
3008.73,99.388
3009.99,99.373
3011.25,99.357
3012.55,99.352
3013.82,99.352
3015.08,99.352
3016.38,99.352
3017.64,99.357
3018.91,99.362
3020.21,99.357
3021.47,99.352
3022.73,99.336
3024.03,99.325
3025.30,99.331
3026.56,99.341
3027.86,99.341
3029.12,99.325
3030.38,99.310
3031.69,99.300
3032.95,99.294
3034.48,99.300
3035.74,99.305
3037.04,99.305
3038.30,99.315
3039.57,99.341
3040.87,99.362
3042.13,99.368
3043.39,99.357
3044.69,99.331
3045.96,99.325
3047.22,99.341
3048.52,99.357
3049.78,99.357
3051.05,99.341
3052.35,99.331
3053.61,99.325
3054.87,99.315
3056.17,99.315
3057.44,99.336
3058.70,99.352
3060.00,99.357
3061.26,99.362
3062.52,99.368
3063.83,99.368
3065.09,99.362
3066.62,99.368
3067.88,99.384
3069.18,99.399
3070.44,99.410
3071.71,99.425
3073.01,99.446
3074.27,99.457
3075.53,99.462
3076.83,99.472
3078.10,99.498
3079.36,99.535
3080.66,99.577
3081.92,99.598
3083.19,99.604
3084.49,99.614
3085.75,99.645
3087.01,99.687
3088.31,99.714
3089.58,99.718
3090.84,99.708
3092.14,99.708
3093.40,99.718
3094.66,99.718
3095.97,99.703
3097.23,99.682
3098.76,99.671
3100.02,99.655
3101.32,99.629
3102.58,99.598
3103.85,99.572
3105.15,99.561
3106.41,99.556
3107.67,99.551
3108.97,99.551
3110.24,99.541
3111.50,99.514
3112.80,99.488
3114.06,99.467
3115.33,99.457
3116.63,99.457
3117.89,99.478
3119.15,99.509
3120.45,99.530
3121.72,99.525
3122.98,99.498
3124.28,99.472
3125.54,99.478
3126.80,99.514
3128.11,99.572
3129.37,99.645
3130.90,99.718
3132.16,99.776
3133.46,99.818
3134.72,99.849
3135.99,99.886
3137.29,99.938
3138.55,99.996
3139.81,100.043
3141.11,100.095
3142.38,100.174
3143.64,100.284
3144.94,100.415
3146.20,100.525
3147.47,100.567
3148.77,100.562
3150.03,100.588
3151.29,100.714
3152.59,100.871
3153.86,100.892
3155.12,100.714
3156.42,100.457
3157.68,100.258
3158.94,100.158
3160.25,100.095
3161.78,100.048
3163.04,99.996
3164.30,99.928
3165.60,99.844
3166.87,99.745
3168.13,99.640
3169.43,99.535
3170.69,99.431
3171.95,99.325
3173.25,99.231
3174.52,99.148
3175.78,99.085
3177.08,99.038
3178.34,99.007
3179.61,98.985
3180.91,98.970
3182.17,98.970
3183.43,98.980
3184.73,98.996
3186.00,99.001
3187.26,98.996
3188.56,98.975
3189.82,98.944
3191.08,98.912
3192.39,98.891
3193.92,98.881
3195.18,98.875
3196.44,98.886
3197.74,98.907
3199.01,98.933
3200.27,98.948
3201.57,98.959
3202.83,98.959
3204.09,98.944
3205.39,98.917
3206.66,98.886
3207.92,98.865
3209.22,98.865
3210.48,98.870
3211.75,98.881
3213.05,98.886
3214.31,98.881
3215.57,98.875
3216.87,98.881
3218.14,98.886
3219.40,98.891
3220.70,98.891
3221.96,98.891
3223.23,98.886
3224.53,98.875
3226.06,98.870
3227.32,98.860
3228.58,98.854
3229.88,98.860
3231.15,98.875
3232.41,98.886
3233.71,98.891
3234.97,98.886
3236.23,98.875
3237.54,98.870
3238.80,98.860
3240.06,98.860
3241.36,98.865
3242.62,98.870
3243.89,98.875
3245.19,98.881
3246.45,98.875
3247.71,98.865
3249.01,98.849
3250.28,98.838
3251.54,98.823
3252.84,98.818
3254.10,98.818
3255.37,98.818
3256.67,98.818
3258.20,98.818
3259.46,98.807
3260.72,98.802
3262.02,98.797
3263.29,98.791
3264.55,98.781
3265.85,98.771
3267.11,98.755
3268.37,98.750
3269.68,98.750
3270.94,98.755
3272.20,98.765
3273.50,98.776
3274.76,98.776
3276.03,98.771
3277.33,98.760
3278.59,98.760
3279.85,98.760
3281.15,98.765
3282.42,98.765
3283.68,98.765
3284.98,98.765
3286.24,98.765
3287.51,98.765
3288.81,98.765
3290.34,98.755
3291.60,98.744
3292.86,98.734
3294.16,98.728
3295.43,98.734
3296.69,98.739
3297.99,98.750
3299.25,98.760
3300.51,98.760
3301.82,98.750
3303.08,98.728
3304.34,98.713
3305.64,98.697
3306.90,98.687
3308.17,98.687
3309.47,98.692
3310.73,98.697
3311.99,98.697
3313.29,98.697
3314.56,98.687
3315.82,98.677
3317.12,98.671
3318.38,98.671
3319.65,98.666
3320.95,98.645
3322.48,98.614
3323.74,98.577
3325.00,98.551
3326.30,98.551
3327.57,98.571
3328.83,98.603
3330.13,98.629
3331.39,98.640
3332.65,98.640
3333.96,98.640
3335.22,98.629
3336.48,98.624
3337.78,98.618
3339.04,98.618
3340.31,98.629
3341.61,98.629
3342.87,98.629
3344.13,98.629
3345.43,98.629
3346.70,98.634
3347.96,98.645
3349.26,98.645
3350.52,98.645
3351.79,98.650
3353.32,98.661
3354.62,98.671
3355.88,98.666
3357.14,98.655
3358.44,98.645
3359.71,98.634
3360.97,98.640
3362.27,98.640
3363.53,98.629
3364.79,98.614
3366.10,98.598
3367.36,98.582
3368.62,98.582
3369.92,98.598
3371.18,98.614
3372.45,98.629
3373.75,98.629
3375.01,98.629
3376.27,98.624
3377.57,98.618
3378.84,98.603
3380.10,98.582
3381.40,98.567
3382.66,98.561
3383.93,98.567
3385.46,98.567
3386.76,98.567
3388.02,98.567
3389.28,98.561
3390.58,98.545
3391.85,98.514
3393.11,98.483
3394.41,98.457
3395.67,98.451
3396.93,98.457
3398.24,98.467
3399.50,98.483
3400.76,98.509
3402.06,98.535
3403.32,98.545
3404.59,98.545
3405.89,98.535
3407.15,98.530
3408.41,98.530
3409.71,98.524
3410.98,98.514
3412.24,98.504
3413.54,98.504
3414.80,98.520
3416.07,98.535
3417.60,98.540
3418.90,98.535
3420.16,98.520
3421.42,98.498
3422.72,98.493
3423.99,98.498
3425.25,98.520
3426.55,98.540
3427.81,98.556
3429.07,98.561
3430.38,98.561
3431.64,98.556
3432.90,98.556
3434.20,98.556
3435.46,98.561
3436.73,98.561
3438.03,98.556
3439.29,98.556
3440.55,98.556
3441.85,98.567
3443.12,98.571
3444.38,98.577
3445.68,98.582
3446.94,98.582
3448.21,98.582
3449.74,98.582
3451.04,98.582
3452.30,98.587
3453.56,98.598
3454.86,98.618
3456.13,98.640
3457.39,98.666
3458.69,98.687
3459.95,98.703
