land_use,depth_cm,wavenumber_cm-1,transmittance_percent,absorbance,band_group,assignment
Coniferous forest,15-30,1711.68,87.52,0.0579,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Coniferous forest,15-30,2145.69,94.05,0.0267,silica_ot,Quartz / silicate overtone-combination band
Coniferous forest,15-30,2855.53,90.99,0.0410,aliphatic,Symmetric C-H stretch of aliphatic CH2
Coniferous forest,15-30,2928.83,88.35,0.0538,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Coniferous forest,15-30,3403.35,71.36,0.1466,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Coniferous forest,15-30,3619.39,81.44,0.0892,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Coniferous forest,15-30,3698.48,87.88,0.0561,clay_oh,Kaolinite inner-surface O-H stretch
Grazing land,0-15,463.65,67.18,0.1728,silicate,Si-O-Si bending of quartz and phyllosilicates
Grazing land,0-15,521.52,71.32,0.1468,clay_bend,Si-O-Al bending of octahedral sheet
Grazing land,0-15,610.25,83.63,0.0777,feox,Fe-O and Si-O-Al bending
Grazing land,0-15,695.13,86.50,0.0630,quartz,Quartz / Si-O-Al vibration
Grazing land,0-15,739.49,86.28,0.0641,aromatic_oop,Aromatic C-H out-of-plane deformation
Grazing land,0-15,780.00,82.47,0.0837,quartz,"Quartz doublet, Si-O symmetric stretch"
Grazing land,0-15,799.29,80.97,0.0917,quartz,"Quartz doublet, Si-O symmetric stretch"
Grazing land,0-15,913.10,82.82,0.0819,clay_bend,Al-Al-OH deformation of dioctahedral clays
Grazing land,0-15,1030.76,45.52,0.3418,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Grazing land,0-15,1269.95,85.55,0.0678,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Grazing land,0-15,1455.13,83.97,0.0759,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Grazing land,0-15,1505.28,87.76,0.0567,aromatic_amide,Aromatic skeletal C=C of lignin
Grazing land,0-15,1563.15,85.99,0.0656,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Grazing land,0-15,1649.95,80.59,0.0937,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Grazing land,0-15,1713.60,83.49,0.0784,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Grazing land,0-15,2163.05,94.94,0.0225,silica_ot,Quartz / silicate overtone-combination band
Grazing land,0-15,2521.83,94.98,0.0224,carbonate,Carbonate combination band (calcite)
Grazing land,0-15,2853.60,89.74,0.0470,aliphatic,Symmetric C-H stretch of aliphatic CH2
Grazing land,0-15,2924.97,86.23,0.0644,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Grazing land,0-15,3399.49,75.86,0.1200,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Grazing land,0-15,3619.39,83.91,0.0762,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Grazing land,0-15,3694.62,89.82,0.0466,clay_oh,Kaolinite inner-surface O-H stretch
Grazing land,15-30,467.51,65.11,0.1864,silicate,Si-O-Si bending of quartz and phyllosilicates
Grazing land,15-30,521.52,69.01,0.1611,clay_bend,Si-O-Al bending of octahedral sheet
Grazing land,15-30,608.32,83.56,0.0780,feox,Fe-O and Si-O-Al bending
Grazing land,15-30,695.13,85.71,0.0670,quartz,Quartz / Si-O-Al vibration
Grazing land,15-30,780.00,80.99,0.0916,quartz,"Quartz doublet, Si-O symmetric stretch"
Grazing land,15-30,797.36,80.85,0.0923,quartz,"Quartz doublet, Si-O symmetric stretch"
Grazing land,15-30,915.03,82.55,0.0833,clay_bend,Al-Al-OH deformation of dioctahedral clays
Grazing land,15-30,1036.55,39.76,0.4006,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Grazing land,15-30,1262.23,88.54,0.0529,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Grazing land,15-30,1455.13,85.78,0.0666,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Grazing land,15-30,1561.22,89.02,0.0505,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Grazing land,15-30,1651.88,85.52,0.0679,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Grazing land,15-30,1713.60,88.17,0.0547,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Grazing land,15-30,2153.40,94.25,0.0257,silica_ot,Quartz / silicate overtone-combination band
Grazing land,15-30,2519.90,93.76,0.0280,carbonate,Carbonate combination band (calcite)
Grazing land,15-30,2853.60,92.01,0.0362,aliphatic,Symmetric C-H stretch of aliphatic CH2
Grazing land,15-30,2924.97,89.98,0.0459,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Grazing land,15-30,3387.92,76.58,0.1159,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Grazing land,15-30,3615.53,83.15,0.0801,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Grazing land,15-30,3694.62,89.03,0.0505,clay_oh,Kaolinite inner-surface O-H stretch
Wasteland,0-15,469.44,61.26,0.2128,silicate,Si-O-Si bending of quartz and phyllosilicates
Wasteland,0-15,523.45,65.72,0.1823,clay_bend,Si-O-Al bending of octahedral sheet
Wasteland,0-15,614.11,82.35,0.0843,feox,Fe-O and Si-O-Al bending
Wasteland,0-15,700.91,84.54,0.0729,quartz,Quartz / Si-O-Al vibration
Wasteland,0-15,778.07,78.79,0.1035,quartz,"Quartz doublet, Si-O symmetric stretch"
Wasteland,0-15,795.43,77.79,0.1091,quartz,"Quartz doublet, Si-O symmetric stretch"
Wasteland,0-15,876.45,83.49,0.0783,carbonate,Carbonate v2 out-of-plane bend (calcite)
Wasteland,0-15,918.88,81.23,0.0903,clay_bend,Al-Al-OH deformation of dioctahedral clays
Wasteland,0-15,1040.41,35.92,0.4446,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Wasteland,0-15,1430.05,81.84,0.0870,carbonate,Carbonate v3 asymmetric stretch; COO- symmetric stretch
Wasteland,0-15,1648.02,89.43,0.0485,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Wasteland,0-15,1794.62,93.14,0.0309,carbonate,Carbonate overtone (calcite)
Wasteland,0-15,2159.19,94.43,0.0249,silica_ot,Quartz / silicate overtone-combination band
Wasteland,0-15,2514.11,91.79,0.0372,carbonate,Carbonate combination band (calcite)
Wasteland,0-15,2926.90,93.85,0.0275,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Wasteland,0-15,3397.56,82.82,0.0819,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Wasteland,0-15,3617.46,85.41,0.0685,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Wasteland,0-15,3692.69,89.70,0.0472,clay_oh,Kaolinite inner-surface O-H stretch
Wasteland,15-30,467.51,61.49,0.2112,silicate,Si-O-Si bending of quartz and phyllosilicates
Wasteland,15-30,521.52,64.52,0.1903,clay_bend,Si-O-Al bending of octahedral sheet
Wasteland,15-30,608.32,81.99,0.0862,feox,Fe-O and Si-O-Al bending
Wasteland,15-30,695.13,84.26,0.0744,quartz,Quartz / Si-O-Al vibration
Wasteland,15-30,776.14,79.53,0.0995,quartz,"Quartz doublet, Si-O symmetric stretch"
Wasteland,15-30,799.29,77.88,0.1086,quartz,"Quartz doublet, Si-O symmetric stretch"
Wasteland,15-30,874.52,81.37,0.0895,carbonate,Carbonate v2 out-of-plane bend (calcite)
Wasteland,15-30,916.95,80.96,0.0917,clay_bend,Al-Al-OH deformation of dioctahedral clays
Wasteland,15-30,1040.41,36.82,0.4339,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Wasteland,15-30,1424.26,79.16,0.1015,carbonate,Carbonate v3 asymmetric stretch; COO- symmetric stretch
Wasteland,15-30,1644.16,90.34,0.0441,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Wasteland,15-30,1790.76,92.19,0.0353,carbonate,Carbonate overtone (calcite)
Wasteland,15-30,2155.33,93.91,0.0273,silica_ot,Quartz / silicate overtone-combination band
Wasteland,15-30,2521.83,90.95,0.0412,carbonate,Carbonate combination band (calcite)
Wasteland,15-30,2924.97,94.10,0.0264,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Wasteland,15-30,3395.63,82.92,0.0813,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Wasteland,15-30,3619.39,86.06,0.0652,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Wasteland,15-30,3692.69,90.17,0.0449,clay_oh,Kaolinite inner-surface O-H stretch
Apple orchard,0-15,469.44,64.86,0.1880,silicate,Si-O-Si bending of quartz and phyllosilicates
Apple orchard,0-15,519.59,69.02,0.1610,clay_bend,Si-O-Al bending of octahedral sheet
Apple orchard,0-15,612.18,84.00,0.0757,feox,Fe-O and Si-O-Al bending
Apple orchard,0-15,695.13,86.11,0.0650,quartz,Quartz / Si-O-Al vibration
Apple orchard,0-15,739.49,86.21,0.0644,aromatic_oop,Aromatic C-H out-of-plane deformation
Apple orchard,0-15,780.00,82.11,0.0856,quartz,"Quartz doublet, Si-O symmetric stretch"
Apple orchard,0-15,799.29,81.18,0.0906,quartz,"Quartz doublet, Si-O symmetric stretch"
Apple orchard,0-15,913.10,82.50,0.0836,clay_bend,Al-Al-OH deformation of dioctahedral clays
Apple orchard,0-15,1034.62,40.98,0.3874,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Apple orchard,0-15,1266.09,85.45,0.0683,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Apple orchard,0-15,1453.20,82.08,0.0858,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Apple orchard,0-15,1565.08,86.77,0.0616,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Apple orchard,0-15,1651.88,82.21,0.0851,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Apple orchard,0-15,1717.46,84.04,0.0755,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Apple orchard,0-15,2166.90,94.98,0.0224,silica_ot,Quartz / silicate overtone-combination band
Apple orchard,0-15,2514.11,93.47,0.0293,carbonate,Carbonate combination band (calcite)
Apple orchard,0-15,2857.46,91.15,0.0402,aliphatic,Symmetric C-H stretch of aliphatic CH2
Apple orchard,0-15,2924.97,87.62,0.0574,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Apple orchard,0-15,3401.42,79.02,0.1023,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Apple orchard,0-15,3621.32,86.00,0.0655,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Apple orchard,0-15,3690.76,91.16,0.0402,clay_oh,Kaolinite inner-surface O-H stretch
Apple orchard,15-30,465.58,64.23,0.1923,silicate,Si-O-Si bending of quartz and phyllosilicates
Apple orchard,15-30,521.52,68.77,0.1626,clay_bend,Si-O-Al bending of octahedral sheet
Apple orchard,15-30,608.32,83.01,0.0809,feox,Fe-O and Si-O-Al bending
Apple orchard,15-30,693.20,86.05,0.0652,quartz,Quartz / Si-O-Al vibration
Apple orchard,15-30,781.93,81.06,0.0912,quartz,"Quartz doublet, Si-O symmetric stretch"
Apple orchard,15-30,797.36,79.74,0.0983,quartz,"Quartz doublet, Si-O symmetric stretch"
Apple orchard,15-30,876.45,81.71,0.0877,carbonate,Carbonate v2 out-of-plane bend (calcite)
Apple orchard,15-30,913.10,81.32,0.0898,clay_bend,Al-Al-OH deformation of dioctahedral clays
Apple orchard,15-30,1028.83,38.39,0.4158,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Apple orchard,15-30,1266.09,86.75,0.0617,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Apple orchard,15-30,1433.91,80.44,0.0945,carbonate,Carbonate v3 asymmetric stretch; COO- symmetric stretch
Apple orchard,15-30,1559.29,89.03,0.0504,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Apple orchard,15-30,1655.74,86.38,0.0636,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Apple orchard,15-30,1717.46,87.66,0.0572,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Apple orchard,15-30,1794.62,92.07,0.0359,carbonate,Carbonate overtone (calcite)
Apple orchard,15-30,2155.33,94.12,0.0263,silica_ot,Quartz / silicate overtone-combination band
Apple orchard,15-30,2514.11,91.12,0.0404,carbonate,Carbonate combination band (calcite)
Apple orchard,15-30,2855.53,92.01,0.0362,aliphatic,Symmetric C-H stretch of aliphatic CH2
Apple orchard,15-30,2926.90,89.41,0.0486,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Apple orchard,15-30,3395.63,78.02,0.1078,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Apple orchard,15-30,3617.46,83.91,0.0762,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Apple orchard,15-30,3692.69,89.08,0.0502,clay_oh,Kaolinite inner-surface O-H stretch
Paddy field,0-15,465.58,62.27,0.2057,silicate,Si-O-Si bending of quartz and phyllosilicates
Paddy field,0-15,521.52,65.50,0.1838,clay_bend,Si-O-Al bending of octahedral sheet
Paddy field,0-15,614.11,80.99,0.0916,feox,Fe-O and Si-O-Al bending
Paddy field,0-15,693.20,85.74,0.0668,quartz,Quartz / Si-O-Al vibration
Paddy field,0-15,739.49,85.41,0.0685,aromatic_oop,Aromatic C-H out-of-plane deformation
Paddy field,0-15,780.00,81.56,0.0885,quartz,"Quartz doublet, Si-O symmetric stretch"
Paddy field,0-15,801.22,81.44,0.0892,quartz,"Quartz doublet, Si-O symmetric stretch"
Paddy field,0-15,918.88,81.55,0.0886,clay_bend,Al-Al-OH deformation of dioctahedral clays
Paddy field,0-15,1032.69,34.58,0.4611,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Paddy field,0-15,1262.23,85.03,0.0704,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Paddy field,0-15,1455.13,85.68,0.0671,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Paddy field,0-15,1509.14,87.81,0.0565,aromatic_amide,Aromatic skeletal C=C of lignin
Paddy field,0-15,1561.22,86.10,0.0650,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Paddy field,0-15,1646.09,78.67,0.1042,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Paddy field,0-15,1715.53,82.50,0.0836,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Paddy field,0-15,2147.61,94.21,0.0259,silica_ot,Quartz / silicate overtone-combination band
Paddy field,0-15,2859.39,91.57,0.0383,aliphatic,Symmetric C-H stretch of aliphatic CH2
Paddy field,0-15,2926.90,88.56,0.0528,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Paddy field,0-15,3405.28,74.89,0.1256,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Paddy field,0-15,3623.25,83.64,0.0776,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Paddy field,0-15,3696.55,89.37,0.0488,clay_oh,Kaolinite inner-surface O-H stretch
Paddy field,15-30,469.44,61.36,0.2121,silicate,Si-O-Si bending of quartz and phyllosilicates
Paddy field,15-30,525.38,62.83,0.2019,clay_bend,Si-O-Al bending of octahedral sheet
Paddy field,15-30,612.18,79.05,0.1021,feox,Fe-O and Si-O-Al bending
Paddy field,15-30,693.20,85.06,0.0703,quartz,Quartz / Si-O-Al vibration
Paddy field,15-30,737.56,86.87,0.0611,aromatic_oop,Aromatic C-H out-of-plane deformation
Paddy field,15-30,781.93,80.59,0.0937,quartz,"Quartz doublet, Si-O symmetric stretch"
Paddy field,15-30,795.43,80.17,0.0960,quartz,"Quartz doublet, Si-O symmetric stretch"
Paddy field,15-30,913.10,80.82,0.0925,clay_bend,Al-Al-OH deformation of dioctahedral clays
Paddy field,15-30,1034.62,32.95,0.4822,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Paddy field,15-30,1262.23,86.45,0.0633,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Paddy field,15-30,1451.27,86.65,0.0622,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Paddy field,15-30,1512.99,89.03,0.0504,aromatic_amide,Aromatic skeletal C=C of lignin
Paddy field,15-30,1565.08,87.97,0.0556,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Paddy field,15-30,1648.02,83.48,0.0784,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Paddy field,15-30,1713.60,86.15,0.0647,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Paddy field,15-30,2172.69,94.04,0.0267,silica_ot,Quartz / silicate overtone-combination band
Paddy field,15-30,2510.25,94.21,0.0259,carbonate,Carbonate combination band (calcite)
Paddy field,15-30,2853.60,92.28,0.0349,aliphatic,Symmetric C-H stretch of aliphatic CH2
Paddy field,15-30,2926.90,90.12,0.0452,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Paddy field,15-30,3399.49,75.08,0.1245,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Paddy field,15-30,3619.39,83.80,0.0768,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Paddy field,15-30,3696.55,89.01,0.0506,clay_oh,Kaolinite inner-surface O-H stretch
Maize field,0-15,471.37,65.49,0.1838,silicate,Si-O-Si bending of quartz and phyllosilicates
Maize field,0-15,523.45,68.86,0.1620,clay_bend,Si-O-Al bending of octahedral sheet
Maize field,0-15,608.32,83.25,0.0796,feox,Fe-O and Si-O-Al bending
Maize field,0-15,695.13,85.89,0.0661,quartz,Quartz / Si-O-Al vibration
Maize field,0-15,735.63,86.84,0.0613,aromatic_oop,Aromatic C-H out-of-plane deformation
Maize field,0-15,780.00,81.58,0.0884,quartz,"Quartz doublet, Si-O symmetric stretch"
Maize field,0-15,799.29,81.52,0.0887,quartz,"Quartz doublet, Si-O symmetric stretch"
Maize field,0-15,918.88,82.13,0.0855,clay_bend,Al-Al-OH deformation of dioctahedral clays
Maize field,0-15,1032.69,42.21,0.3746,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Maize field,0-15,1260.30,86.75,0.0617,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Maize field,0-15,1381.83,85.81,0.0665,nitrate,Nitrate v3; C-H bending of CH3
Maize field,0-15,1455.13,84.63,0.0725,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Maize field,0-15,1563.15,89.41,0.0486,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Maize field,0-15,1648.02,84.60,0.0727,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Maize field,0-15,1713.60,85.97,0.0657,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Maize field,0-15,2153.40,95.07,0.0220,silica_ot,Quartz / silicate overtone-combination band
Maize field,0-15,2516.04,95.19,0.0214,carbonate,Carbonate combination band (calcite)
Maize field,0-15,2849.75,92.04,0.0360,aliphatic,Symmetric C-H stretch of aliphatic CH2
Maize field,0-15,2926.90,89.28,0.0492,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Maize field,0-15,3387.92,78.18,0.1069,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Maize field,0-15,3617.46,86.27,0.0641,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Maize field,0-15,3694.62,91.47,0.0387,clay_oh,Kaolinite inner-surface O-H stretch
Maize field,15-30,463.65,62.99,0.2007,silicate,Si-O-Si bending of quartz and phyllosilicates
Maize field,15-30,519.59,68.49,0.1643,clay_bend,Si-O-Al bending of octahedral sheet
Maize field,15-30,608.32,83.20,0.0799,feox,Fe-O and Si-O-Al bending
Maize field,15-30,693.20,85.39,0.0686,quartz,Quartz / Si-O-Al vibration
Maize field,15-30,795.43,79.39,0.1003,quartz,"Quartz doublet, Si-O symmetric stretch"
Maize field,15-30,874.52,84.96,0.0708,carbonate,Carbonate v2 out-of-plane bend (calcite)
Maize field,15-30,916.95,81.52,0.0887,clay_bend,Al-Al-OH deformation of dioctahedral clays
Maize field,15-30,1032.69,38.20,0.4180,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Maize field,15-30,1258.38,88.79,0.0516,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Maize field,15-30,1441.62,84.82,0.0715,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Maize field,15-30,1648.02,87.68,0.0571,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Maize field,15-30,1715.53,88.98,0.0507,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Maize field,15-30,2163.05,93.98,0.0269,silica_ot,Quartz / silicate overtone-combination band
Maize field,15-30,2519.90,93.03,0.0314,carbonate,Carbonate combination band (calcite)
Maize field,15-30,2857.46,92.74,0.0327,aliphatic,Symmetric C-H stretch of aliphatic CH2
Maize field,15-30,2926.90,91.17,0.0401,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Maize field,15-30,3395.63,78.84,0.1033,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Maize field,15-30,3619.39,83.77,0.0769,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Maize field,15-30,3694.62,89.00,0.0506,clay_oh,Kaolinite inner-surface O-H stretch
Vegetable field,0-15,459.80,65.50,0.1838,silicate,Si-O-Si bending of quartz and phyllosilicates
Vegetable field,0-15,521.52,70.82,0.1499,clay_bend,Si-O-Al bending of octahedral sheet
Vegetable field,0-15,616.04,83.15,0.0801,feox,Fe-O and Si-O-Al bending
Vegetable field,0-15,697.06,86.25,0.0642,quartz,Quartz / Si-O-Al vibration
Vegetable field,0-15,737.56,86.76,0.0617,aromatic_oop,Aromatic C-H out-of-plane deformation
Vegetable field,0-15,776.14,82.09,0.0857,quartz,"Quartz doublet, Si-O symmetric stretch"
Vegetable field,0-15,797.36,80.67,0.0933,quartz,"Quartz doublet, Si-O symmetric stretch"
Vegetable field,0-15,918.88,82.22,0.0850,clay_bend,Al-Al-OH deformation of dioctahedral clays
Vegetable field,0-15,1030.76,38.71,0.4122,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Vegetable field,0-15,1264.16,86.70,0.0620,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Vegetable field,0-15,1381.83,81.85,0.0870,nitrate,Nitrate v3; C-H bending of CH3
Vegetable field,0-15,1453.20,84.50,0.0731,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Vegetable field,0-15,1557.36,88.55,0.0528,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Vegetable field,0-15,1648.02,83.85,0.0765,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Vegetable field,0-15,1719.39,85.87,0.0662,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Vegetable field,0-15,2164.97,94.04,0.0267,silica_ot,Quartz / silicate overtone-combination band
Vegetable field,0-15,2516.04,93.99,0.0269,carbonate,Carbonate combination band (calcite)
Vegetable field,0-15,2857.46,91.50,0.0386,aliphatic,Symmetric C-H stretch of aliphatic CH2
Vegetable field,0-15,2924.97,88.96,0.0508,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Vegetable field,0-15,3395.63,77.40,0.1113,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Vegetable field,0-15,3617.46,83.96,0.0760,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Vegetable field,0-15,3696.55,89.33,0.0490,clay_oh,Kaolinite inner-surface O-H stretch
Vegetable field,15-30,461.73,62.81,0.2020,silicate,Si-O-Si bending of quartz and phyllosilicates
Vegetable field,15-30,517.66,69.56,0.1576,clay_bend,Si-O-Al bending of octahedral sheet
Vegetable field,15-30,610.25,82.67,0.0827,feox,Fe-O and Si-O-Al bending
Vegetable field,15-30,697.06,85.95,0.0658,quartz,Quartz / Si-O-Al vibration
Vegetable field,15-30,776.14,81.06,0.0912,quartz,"Quartz doublet, Si-O symmetric stretch"
